"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2021","2,748.58","2,798.39","2,818.27","2,734.81","","-1.78%"
"02/25/2021","2,798.39","2,800.91","2,848.80","2,795.09","","-0.09%"
"02/24/2021","2,800.91","2,776.57","2,804.52","2,722.69","","0.88%"
"02/23/2021","2,776.57","2,758.78","2,792.04","2,716.98","","0.64%"
"02/22/2021","2,758.78","2,723.09","2,761.46","2,708.07","","1.31%"
"02/19/2021","2,723.09","2,673.18","2,736.02","2,651.21","","1.87%"
"02/18/2021","2,673.18","2,763.18","2,763.18","2,653.53","","-3.26%"
"02/17/2021","2,763.18","2,758.86","2,774.75","2,726.81","","0.16%"
"02/16/2021","2,758.86","2,688.30","2,764.60","2,688.03","","2.62%"
"02/15/2021","2,688.30","2,595.37","2,695.53","2,595.37","","3.58%"
"02/12/2021","2,595.37","2,579.32","2,605.86","2,542.25","","0.62%"
"02/11/2021","2,579.32","2,597.58","2,609.14","2,563.35","","-0.70%"
"02/10/2021","2,597.58","2,581.56","2,616.51","2,574.57","","0.62%"
"02/09/2021","2,581.56","2,566.67","2,587.86","2,551.29","","0.58%"
"02/08/2021","2,566.67","2,559.70","2,596.93","2,544.12","","0.27%"
"02/05/2021","2,559.70","2,551.12","2,583.14","2,531.50","","0.34%"
"02/04/2021","2,551.12","2,482.52","2,563.34","2,460.49","","2.76%"
"02/03/2021","2,482.52","2,484.26","2,519.65","2,465.73","","-0.07%"
"02/02/2021","2,484.26","2,429.66","2,489.13","2,429.66","","2.25%"
"02/01/2021","2,429.66","2,412.71","2,459.13","2,396.65","","0.70%"
"01/29/2021","2,412.71","2,476.45","2,476.45","2,394.72","","-2.57%"
"01/28/2021","2,476.45","2,477.19","2,481.52","2,404.23","","-0.03%"
"01/27/2021","2,477.19","2,515.29","2,537.63","2,463.16","","-1.51%"
"01/26/2021","2,515.29","2,490.57","2,530.20","2,490.57","","0.99%"
"01/25/2021","2,490.57","2,556.58","2,566.58","2,480.47","","-2.58%"
"01/22/2021","2,556.58","2,595.07","2,595.07","2,542.31","","-1.48%"
"01/21/2021","2,595.07","2,585.17","2,640.46","2,585.04","","0.38%"
