"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2021","12,331.42","12,573.45","12,579.64","12,315.38","","-1.92%"
"02/25/2021","12,573.45","12,585.05","12,679.11","12,532.94","","-0.09%"
"02/24/2021","12,585.05","12,472.43","12,608.01","12,401.08","","0.90%"
"02/23/2021","12,472.43","12,506.83","12,627.69","12,332.01","","-0.28%"
"02/22/2021","12,506.83","12,533.41","12,533.41","12,348.73","","-0.21%"
"02/19/2021","12,533.41","12,535.98","12,588.79","12,513.03","","-0.02%"
"02/18/2021","12,535.98","12,637.52","12,706.36","12,500.27","","-0.80%"
"02/17/2021","12,637.52","12,900.04","12,909.05","12,620.87","","-2.04%"
"02/16/2021","12,900.04","12,907.96","12,966.71","12,861.95","","-0.06%"
"02/15/2021","12,907.96","12,648.22","12,925.35","12,648.22","","2.05%"
"02/12/2021","12,648.22","12,541.52","12,651.42","12,453.00","","0.85%"
"02/11/2021","12,541.52","12,463.62","12,550.17","12,435.69","","0.63%"
"02/10/2021","12,463.62","12,542.73","12,601.90","12,416.10","","-0.63%"
"02/09/2021","12,542.73","12,483.52","12,542.73","12,417.16","","0.47%"
"02/08/2021","12,483.52","12,453.18","12,565.22","12,450.25","","0.24%"
"02/05/2021","12,453.18","12,511.36","12,562.18","12,413.98","","-0.47%"
"02/04/2021","12,511.36","12,390.30","12,530.26","12,371.05","","0.98%"
"02/03/2021","12,390.30","12,452.71","12,555.91","12,368.27","","-0.50%"
"02/02/2021","12,452.71","12,173.25","12,455.93","12,173.25","","2.30%"
"02/01/2021","12,173.25","11,940.84","12,173.25","11,940.84","","1.95%"
"01/29/2021","11,940.84","12,038.89","12,038.89","11,767.27","","-0.81%"
"01/28/2021","12,038.89","12,047.32","12,047.32","11,771.57","","-0.07%"
"01/27/2021","12,047.32","12,246.13","12,276.62","11,995.91","","-1.62%"
"01/26/2021","12,246.13","12,167.73","12,317.89","12,161.77","","0.64%"
"01/25/2021","12,167.73","12,269.70","12,354.74","12,134.30","","-0.83%"
"01/22/2021","12,269.70","12,381.41","12,394.97","12,210.03","","-0.90%"
"01/21/2021","12,381.41","12,362.87","12,465.78","12,361.41","","0.15%"
