"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2021","669.05","685.41","685.41","665.60","","-2.39%"
"02/25/2021","685.41","682.93","689.99","681.87","","0.36%"
"02/24/2021","682.93","677.49","684.56","673.14","","0.80%"
"02/23/2021","677.49","676.45","681.97","672.46","","0.15%"
"02/22/2021","676.45","671.90","677.58","663.30","","0.68%"
"02/19/2021","671.90","662.99","673.12","662.50","","1.34%"
"02/18/2021","662.99","670.25","671.05","661.38","","-1.08%"
"02/17/2021","670.25","675.34","677.84","668.11","","-0.75%"
"02/16/2021","675.34","669.99","676.16","666.70","","0.80%"
"02/15/2021","669.99","650.85","671.90","650.85","","2.94%"
"02/12/2021","650.85","643.25","651.75","639.02","","1.18%"
"02/11/2021","643.25","643.45","646.07","638.40","","-0.03%"
"02/10/2021","643.45","638.33","647.13","636.60","","0.80%"
"02/09/2021","638.33","632.83","640.05","630.34","","0.87%"
"02/08/2021","632.83","627.99","636.23","627.99","","0.77%"
"02/05/2021","627.99","627.77","633.75","624.18","","0.04%"
"02/04/2021","627.77","623.13","630.11","619.88","","0.74%"
"02/03/2021","623.13","618.70","632.22","618.70","","0.72%"
"02/02/2021","618.70","609.38","621.40","609.38","","1.53%"
"02/01/2021","609.38","604.93","613.17","603.13","","0.74%"
"01/29/2021","604.93","623.09","623.09","604.84","","-2.91%"
"01/28/2021","623.09","643.71","643.71","607.65","","-3.20%"
"01/27/2021","643.71","655.05","655.05","639.14","","-1.73%"
"01/26/2021","655.05","650.24","658.49","649.28","","0.74%"
"01/25/2021","650.24","665.05","668.22","648.38","","-2.23%"
"01/22/2021","665.05","673.33","673.91","661.71","","-1.23%"
"01/21/2021","673.33","670.81","679.49","670.12","","0.38%"
"01/20/2021","670.81","672.45","675.15","668.10","","-0.24%"
"01/19/2021","672.45","673.95","677.81","668.05","","-0.22%"
"01/18/2021","673.95","676.16","678.68","671.50","","-0.33%"
"01/15/2021","676.16","680.58","681.21","669.00","","-0.65%"
"01/14/2021","680.58","674.99","682.53","674.74","","0.83%"
"01/13/2021","674.99","677.36","678.12","672.89","","-0.35%"
"01/12/2021","677.36","676.20","679.17","672.78","","0.17%"
"01/11/2021","676.20","680.38","681.00","670.63","","-0.61%"
"01/08/2021","680.38","682.29","687.48","678.74","","-0.28%"
"01/07/2021","682.29","683.75","689.01","676.57","","-0.21%"
"01/06/2021","683.75","657.40","686.97","657.40","","4.01%"
"01/05/2021","657.40","657.55","666.71","651.79","","-0.02%"
"01/04/2021","657.55","650.58","671.88","650.58","","1.07%"
"12/31/2020","650.58","658.80","658.80","647.47","","-1.25%"
"12/30/2020","658.80","660.86","666.54","658.24","","-0.31%"
"12/29/2020","660.86","652.77","667.89","652.77","","1.24%"
"12/24/2020","652.77","649.44","655.96","649.44","","0.51%"
"12/23/2020","649.44","635.88","650.99","634.57","","2.13%"
"12/22/2020","635.88","628.57","638.41","627.67","","1.16%"
"12/21/2020","628.57","644.18","644.18","613.96","","-2.42%"
"12/18/2020","644.18","646.81","652.37","642.70","","-0.41%"
"12/17/2020","646.81","649.12","654.03","646.00","","-0.36%"
"12/16/2020","649.12","637.21","650.24","637.21","","1.87%"
"12/15/2020","637.21","631.10","638.55","628.93","","0.97%"
"12/14/2020","631.10","625.65","639.67","625.65","","0.87%"
"12/11/2020","625.65","630.06","630.13","620.02","","-0.70%"
"12/10/2020","630.06","632.84","633.50","619.44","","-0.44%"
"12/09/2020","632.84","630.73","637.41","630.73","","0.33%"
"12/08/2020","630.73","628.75","632.62","623.27","","0.31%"
"12/07/2020","628.75","631.95","633.54","619.39","","-0.51%"
"12/04/2020","631.95","627.46","633.56","625.85","","0.72%"
"12/03/2020","627.46","630.32","630.39","622.58","","-0.45%"
"12/02/2020","630.32","630.54","630.98","620.92","","-0.03%"
"12/01/2020","630.54","608.61","631.73","607.66","","3.60%"
"11/30/2020","608.61","620.21","624.06","608.61","","-1.87%"
"11/27/2020","620.21","623.50","623.57","611.15","","-0.53%"
"11/26/2020","623.50","626.26","629.56","616.53","","-0.44%"
"11/25/2020","626.26","641.28","641.40","623.64","","-2.34%"
"11/24/2020","641.28","634.83","643.72","633.79","","1.02%"
"11/23/2020","634.83","636.19","640.76","632.91","","-0.21%"
"11/20/2020","636.19","634.79","640.64","632.18","","0.22%"
"11/19/2020","634.79","639.86","640.10","630.60","","-0.79%"
"11/18/2020","639.86","632.09","640.45","629.84","","1.23%"
"11/17/2020","632.09","627.70","632.09","622.96","","0.70%"
"11/16/2020","627.70","615.74","630.16","615.74","","1.94%"
"11/13/2020","615.74","609.68","616.16","602.26","","0.99%"
"11/12/2020","609.68","616.30","616.58","601.92","","-1.07%"
"11/11/2020","616.30","612.60","618.44","607.22","","0.60%"
"11/10/2020","612.60","597.71","613.96","596.04","","2.49%"
"11/09/2020","597.71","543.37","604.59","543.37","","10.00%"
"11/06/2020","543.37","540.02","552.78","540.02","","0.62%"
"11/05/2020","540.02","521.13","540.02","518.55","","3.62%"
"11/04/2020","521.13","513.10","522.43","497.87","","1.57%"
"11/03/2020","513.10","494.09","514.11","494.09","","3.85%"
"11/02/2020","494.09","489.44","496.18","486.81","","0.95%"
"10/30/2020","489.44","487.81","492.05","484.09","","0.33%"
"10/29/2020","487.81","493.48","495.00","485.50","","-1.15%"
"10/28/2020","493.48","506.18","506.18","485.95","","-2.51%"
"10/27/2020","506.18","523.37","523.37","505.87","","-3.28%"
"10/26/2020","523.37","531.61","535.00","522.01","","-1.55%"
"10/23/2020","531.61","526.90","536.23","524.92","","0.89%"
"10/22/2020","526.90","521.75","528.83","517.08","","0.99%"
"10/21/2020","521.75","531.54","533.75","520.84","","-1.84%"
"10/20/2020","531.54","531.67","534.46","526.29","","-0.02%"
"10/19/2020","531.67","532.21","537.65","528.52","","-0.10%"
"10/16/2020","532.21","526.14","533.68","526.14","","1.15%"
"10/15/2020","526.14","538.29","538.29","523.02","","-2.26%"
"10/14/2020","538.29","540.59","544.90","536.68","","-0.43%"
"10/13/2020","540.59","553.90","554.98","540.10","","-2.40%"
"10/12/2020","553.90","550.79","558.16","550.07","","0.56%"
"10/09/2020","550.79","549.35","554.41","548.21","","0.26%"
"10/08/2020","549.35","547.57","553.89","545.95","","0.33%"
"10/07/2020","547.57","552.75","555.87","545.45","","-0.94%"
"10/06/2020","552.75","545.79","552.75","540.19","","1.28%"
"10/05/2020","545.79","541.54","551.04","541.54","","0.78%"
"10/02/2020","541.54","534.64","541.54","527.93","","1.29%"
"10/01/2020","534.64","532.07","541.41","530.78","","0.48%"
"09/30/2020","532.07","535.49","540.52","529.65","","-0.64%"
"09/29/2020","535.49","544.38","544.38","534.04","","-1.63%"
"09/28/2020","544.38","527.26","547.89","527.26","","3.25%"
"09/25/2020","527.26","527.13","530.51","521.83","","0.02%"
"09/24/2020","527.13","532.52","533.91","521.95","","-1.01%"
"09/23/2020","532.52","522.84","538.95","522.84","","1.85%"
"09/22/2020","522.84","536.91","536.97","522.84","","-2.62%"
"09/21/2020","536.91","562.28","562.28","534.37","","-4.51%"
"09/18/2020","562.28","567.59","568.30","558.95","","-0.94%"
"09/17/2020","567.59","569.72","569.72","562.83","","-0.37%"
"09/16/2020","569.72","568.62","570.02","563.48","","0.19%"
"09/15/2020","568.62","558.30","572.68","556.24","","1.85%"
"09/14/2020","558.30","559.23","564.09","556.26","","-0.17%"
"09/11/2020","559.23","555.53","561.90","551.94","","0.67%"
"09/10/2020","555.53","552.38","557.48","548.59","","0.57%"
"09/09/2020","552.38","551.53","555.18","546.78","","0.15%"
"09/08/2020","551.53","548.02","556.31","545.83","","0.64%"
"09/07/2020","548.02","539.32","549.36","539.32","","1.61%"
"09/04/2020","539.32","546.39","546.86","536.60","","-1.29%"
"09/03/2020","546.39","555.76","564.15","544.33","","-1.69%"
"09/02/2020","555.76","557.21","562.28","553.23","","-0.26%"
"09/01/2020","557.21","569.68","571.47","550.71","","-2.19%"
"08/28/2020","569.68","566.37","574.86","566.37","","0.58%"
"08/27/2020","566.37","570.95","570.95","564.08","","-0.80%"
"08/26/2020","570.95","568.00","570.95","563.92","","0.52%"
"08/25/2020","568.00","576.90","585.73","566.96","","-1.54%"
"08/24/2020","576.90","572.40","578.59","572.40","","0.79%"
"08/21/2020","572.40","571.70","575.59","565.59","","0.12%"
"08/20/2020","571.70","582.99","582.99","569.82","","-1.94%"
"08/19/2020","582.99","580.53","583.99","573.80","","0.42%"
"08/18/2020","580.53","582.95","588.75","574.77","","-0.42%"
"08/17/2020","582.95","585.03","588.73","579.38","","-0.36%"
"08/14/2020","585.03","589.66","589.87","575.40","","-0.79%"
"08/13/2020","589.66","603.51","603.51","589.66","","-2.29%"
"08/12/2020","603.51","595.61","608.26","595.61","","1.33%"
"08/11/2020","595.61","584.54","600.16","584.54","","1.89%"
"08/10/2020","584.54","576.21","588.38","576.21","","1.45%"
"08/07/2020","576.21","571.02","576.21","569.08","","0.91%"
"08/06/2020","571.02","570.63","577.51","563.46","","0.07%"
"08/05/2020","570.63","558.72","571.48","558.31","","2.13%"
"08/04/2020","558.72","552.24","563.09","552.24","","1.17%"
"08/03/2020","552.24","535.64","554.41","528.98","","3.10%"
"07/31/2020","535.64","534.97","545.93","532.97","","0.13%"
"07/30/2020","534.97","555.68","557.99","525.20","","-3.73%"
"07/29/2020","555.68","554.32","556.10","550.77","","0.25%"
"07/28/2020","554.32","550.50","557.07","549.87","","0.69%"
"07/27/2020","550.50","549.77","553.17","545.76","","0.13%"
"07/24/2020","549.77","565.37","565.37","549.77","","-2.76%"
"07/23/2020","565.37","570.94","574.75","564.08","","-0.98%"
"07/22/2020","570.94","568.98","571.78","562.92","","0.34%"
"07/21/2020","568.98","567.36","575.76","564.72","","0.29%"
"07/20/2020","567.36","574.52","574.52","564.49","","-1.25%"
"07/17/2020","574.52","577.14","578.18","567.56","","-0.45%"
"07/16/2020","577.14","577.66","578.59","569.62","","-0.09%"
